Data,Open,High,Low,Close,Volume
11/24/2021,2268.15,2275.74,2230.01,2239.75,20339805
11/25/2021,2244.79,2247.36,2218.45,2229.44,18898128
11/26/2021,2193.9,2193.9,2138.75,2143.13,39403548
11/29/2021,2148.59,2168.81,2120.23,2148.62,31737586
11/30/2021,2133.69,2199.73,2118.81,2194.37,72231286
12/1/2021,2205.85,2229.12,2193.19,2217.18,31391910
12/2/2021,2208.07,2208.07,2179.15,2201.86,28358291
12/3/2021,2209.95,2223.51,2176.74,2179.71,29597003
12/6/2021,2184.6,2199.87,2175.93,2190.67,20254665
12/7/2021,2201.86,2237.32,2201.86,2231.12,32334634
12/8/2021,2234.64,2244.71,2214.4,2219.62,24245574
12/9/2021,2214.59,2237.73,2184.35,2212.81,27976068
12/10/2021,2212.19,2226.15,2203.22,2213.78,13692707
12/13/2021,2216.22,2244.59,2205.11,2214.38,23526300
12/14/2021,2217.45,2226.58,2197.46,2211.81,25761398
12/15/2021,2211.49,2211.49,2153.69,2161.04,25835534
12/16/2021,2177.87,2216.95,2177.87,2213.89,30877496
12/17/2021,2206.89,2208.54,2183.83,2194.56,62804298
12/20/2021,2168.37,2193.18,2144.3,2189.91,23432593
12/21/2021,2193.98,2206.73,2185.27,2185.47,18662942
12/22/2021,2190.04,2212.32,2186.67,2212.32,14594354
12/23/2021,2215.19,2228.64,2213.67,2225.8,18946170
12/27/2021,2226.82,2232.08,2210.9,2226.24,15662353
12/28/2021,2222.54,2252.43,2219.1,2252.43,23308065
12/29/2021,2245.28,2263.76,2242.8,2260.7,17264000
12/30/2021,2263.39,2266.92,2247.73,2266.92,16099938
1/3/2022,2272.18,2302.11,2272.18,2286.5,19199478
1/4/2022,2293.18,2301.76,2281.04,2300.68,22490984
1/5/2022,2296.7,2310.97,2283.63,2310.97,23373146
1/7/2022,2309.61,2314.16,2278.63,2311.93,29717898
1/10/2022,2311.34,2328.41,2289.59,2291.23,22612381
1/11/2022,2300.38,2345.44,2296.03,2344.45,30819446
1/12/2022,2350.99,2411.11,2350.99,2411.11,46032724
1/13/2022,2406.83,2429.03,2397.64,2407.62,36970690
